Name,Price,Date
Catalyst Pharmaceuticals,$3.20,20200914.131759
Corbus Pharmaceuticals,$1.92,20200914.131759
Viking Therapeutics,$5.79,20200914.131759
Everi,$7.61,20200914.131759
Rigel Pharmaceuticals,$2.31,20200914.131759
Matinas BioPharma,$0.698,20200914.131759
Geron,$1.83,20200914.131759
GrowGeneration,$14.05,20200914.131759
Aphria,$4.52,20200914.131759
Glu Mobile,$7.08,20200914.131759
Bilibili,$43.80,20200914.131759
Tencent,$66.19,20200914.131759
Alphabet Class A,"$1,534.02",20200914.131759
Microsoft,$203.40,20200914.131759
Alphabet Class C,"$1,519.65",20200914.131759
Sunrun,$56.27,20200914.131759
Limelight Networks,$5.30,20200914.131759
Salesforce,$246.70,20200914.131759
Sea Limited,$141.96,20200914.131759
Taiwan Semiconductor Manufacturing,$80.41,20200914.131759
PayPal,$186.35,20200914.131759
Uber,$37.29,20200914.131759
Facebook,$270.00,20200914.131759
Mastercard,$332.55,20200914.131759
Moderna,$60.23,20200914.131759
NVIDIA,$517.08,20200914.131759
Twilio,$228.00,20200914.131759
Plug Power,$11.84,20200914.131759
TherapeuticsMD,$1.37,20200914.131759
Zynga,$8.48,20200914.131759
Abbott,$106.00,20200914.131759
Marvell,$39.50,20200914.131759
Cloudflare,$34.55,20200914.131759
CrowdStrike Holdings,$127.50,20200914.131759
AbbVie,$90.49,20200914.131759
Micron Technology,$48.03,20200914.131759
Zynerba Pharmaceuticals,$3.50,20200914.131759
Livongo,$123.01,20200914.131759
Inseego,$11.14,20200914.131759
Dropbox,$20.05,20200914.131759
Amarin,$4.09,20200914.131759
Adobe,$483.96,20200914.131759
Roku,$156.92,20200914.131759
CRISPR,$79.98,20200914.131759
Qualcomm,$115.05,20200914.131759
AstraZeneca,$54.27,20200914.131759
Apple,$113.80,20200914.131759
Lyft,$31.00,20200914.131759
Okta,$197.00,20200914.131759
Snap,$24.25,20200914.131759
Nokia,$4.14,20200914.131759
Ericsson,$10.95,20200914.131759
Teladoc Health,$192.50,20200914.131759
Fastly,$80.92,20200914.131759
DocuSign,$199.90,20200914.131759
Cisco,$40.08,20200914.131759
Slack,$25.90,20200914.131759
Realty Income,$63.57,20200914.131759
Spotify,$244.51,20200914.131759
Pinterest,$34.50,20200914.131759
Zoom,$390.50,20200914.131759
AMD,$76.60,20200914.131759
Square,$139.30,20200914.131759
Shopify,$926.00,20200914.131759
Boeing,$162.00,20200914.131759
Gilead Sciences,$64.67,20200914.131759
Verizon,$60.52,20200914.131759
Intel,$49.20,20200914.131759
AT&T,$29.11,20200914.131759
Inovio,$10.28,20200914.131759
IBM,$122.50,20200914.131759
Teva Pharmaceutical,$8.88,20200914.131759
Twitter,$39.50,20200914.131759
GoPro,$3.78,20200914.131759
3M,$168.00,20200914.131759
Fitbit,$6.41,20200914.131759
iBio,$1.93,20200914.131759
Kodak,$6.30,20200914.131759
Sorrento Therapeutics,$6.69,20200914.131759
Novavax,$95.77,20200914.131759
Ideanomics,$1.08,20200914.131759
"Ocugen, Inc",$0.3199,20200914.131759
Vaxart,$5.94,20200914.131759
India Globalization Capital,$1.16,20200914.131759
VBI Vaccines,$3.16,20200914.131759
Oragenics,$0.66,20200914.131759
Titan Pharmaceuticals,$0.195,20200914.131759
Zomedica Pharmaceuticals,$0.1104,20200914.131759
22nd Century Group,$0.5628,20200914.131759
Heat Biologics,$1.13,20200914.131759
MicroVision,$1.51,20200914.131759
Onconova Therapeutics,$0.2327,20200914.131759
OPKO Health,$3.10,20200914.131759
Tonix Pharmaceuticals,$0.78,20200914.131759
Novan,$0.49,20200914.131759
Intec Pharma,$0.2558,20200914.131759
Trevena,$1.88,20200914.131759
Bionano Genomics,$0.525,20200914.131759
Neptune Wellness,$2.45,20200914.131759
Vanguard Information Technology ETF,$303.00,20200914.131759
