Product Name,Symbol,Price,Today,Market Capital,Date/Time(GMT)
Catalyst Pharmaceuticals,CPRX,$3.18,329.01M,2020-09-11 04:59:09
Corbus Pharmaceuticals,CRBP,$2.28,185.49M,2020-09-11 04:59:09
Viking Therapeutics,VKTX,$5.90,430.00M,2020-09-11 04:59:09
Everi,EVRI,$7.61,650.28M,2020-09-11 04:59:09
Rigel Pharmaceuticals,RIGL,$2.34,395.29M,2020-09-11 04:59:09
Matinas BioPharma,MTNB,$0.6791,132.57M,2020-09-11 04:59:09
Geron,GERN,$1.87,574.36M,2020-09-11 04:59:09
GrowGeneration,GRWG,$14.00,675.36M,2020-09-11 04:59:09
Aphria,APHA,$4.60,1.33B,2020-09-11 04:59:09
Glu Mobile,GLUU,$7.14,1.21B,2020-09-11 04:59:09
Bilibili,BILI,$43.00,10.52B,2020-09-11 04:59:09
Tencent,TCEHY,$64.90,617.48B,2020-09-11 04:59:09
Alphabet Class A,GOOGL,"$1,527.86",1.04T,2020-09-11 04:59:09
Microsoft,MSFT,$206.70,1.55T,2020-09-11 04:59:09
Alphabet Class C,GOOG,"$1,532.02",1.04T,2020-09-11 04:59:09
Sunrun,RUN,$55.98,7.13B,2020-09-11 04:59:09
Limelight Networks,LLNW,$5.33,650.64M,2020-09-11 04:59:09
Salesforce,CRM,$249.30,225.50B,2020-09-11 04:59:09
Sea Limited,SE,$141.10,46.81B,2020-09-11 04:59:09
Taiwan Semiconductor Manufacturing,TSM,$79.08,409.18B,2020-09-11 04:59:09
PayPal,PYPL,$190.75,223.03B,2020-09-11 04:59:09
Uber,UBER,$35.98,63.06B,2020-09-11 04:59:09
Facebook,FB,$269.46,763.74B,2020-09-11 04:59:09
Mastercard,MA,$332.88,333.23B,2020-09-11 04:59:09
Moderna,MRNA,$58.70,22.71B,2020-09-11 04:59:09
NVIDIA,NVDA,$495.80,303.85B,2020-09-11 04:59:09
Twilio,TWLO,$231.17,34.26B,2020-09-11 04:59:09
Plug Power,PLUG,$12.24,4.87B,2020-09-11 04:59:09
TherapeuticsMD,TXMD,$1.37,364.87M,2020-09-11 04:59:09
Zynga,ZNGA,$8.44,9.14B,2020-09-11 04:59:09
Abbott,ABT,$104.00,184.14B,2020-09-11 04:59:09
Cloudflare,NET,$33.90,10.27B,2020-09-11 04:59:09
CrowdStrike Holdings,CRWD,$129.75,24.16B,2020-09-11 04:59:09
AbbVie,ABBV,$89.80,158.22B,2020-09-11 04:59:09
Micron Technology,MU,$44.99,49.85B,2020-09-11 04:59:09
Zynerba Pharmaceuticals,ZYNE,$3.61,102.69M,2020-09-11 04:59:09
